city,state_id,lat,lng,population,timezone,military
Hauula,HI,21.6111,-157.9118,3233,Pacific/Honolulu,False
Verona,MS,34.1907,-88.7203,3232,America/Chicago,False
Wimberley,TX,29.9849,-98.0906,3232,America/Chicago,False
Enochville,NC,35.5205,-80.6646,3232,America/New_York,False
Port Angeles East,WA,48.1041,-123.3695,3231,America/Los_Angeles,False
Russell,KY,38.5116,-82.6996,3231,America/New_York,False
Norris,TN,36.2136,-84.0629,3229,America/New_York,False
Eielson AFB,AK,64.6741,-147.0605,3229,America/Anchorage,True
Silt,CO,39.5483,-107.6532,3228,America/Denver,False
Wellsboro,PA,41.7459,-77.3031,3227,America/New_York,False
Welsh,LA,30.2355,-92.8135,3227,America/Chicago,False
Bedford Hills,NY,41.2362,-73.6959,3225,America/New_York,False
Linwood,PA,39.8244,-75.4244,3225,America/New_York,False
Wewoka,OK,35.1441,-96.4967,3224,America/Chicago,False
West Orange,TX,30.0791,-93.7598,3223,America/Chicago,False
Tipton,IA,41.7701,-91.1283,3223,America/Chicago,False
Mount Morris,IL,42.0484,-89.4293,3222,America/Chicago,False
Sharpes,FL,28.4368,-80.7555,3221,America/New_York,False
Hinton,OK,35.4793,-98.359,3219,America/Chicago,False
Port Hadlock-Irondale,WA,48.0316,-122.789,3219,America/Los_Angeles,False
Rush City,MN,45.6875,-92.9654,3218,America/Chicago,False
Canterwood,WA,47.3766,-122.6022,3218,America/Los_Angeles,False
Coquí,PR,17.9793,-66.2255,3217,America/Puerto_Rico,False
Pistakee Highlands,IL,42.4023,-88.2115,3217,America/Chicago,False
Watergate,FL,26.3359,-80.2126,3216,America/New_York,False
East Dundee,IL,42.0969,-88.2545,3216,America/Chicago,False
Fairfield,TX,31.7184,-96.1697,3214,America/Chicago,False
Coplay,PA,40.671,-75.4961,3214,America/New_York,False
Warm Springs,OR,44.7669,-121.2899,3213,America/Los_Angeles,False
West Portsmouth,OH,38.7622,-83.0416,3213,America/New_York,False
Three Rivers,OR,43.8366,-121.4646,3212,America/Los_Angeles,False
Orchard City,CO,38.8144,-107.9705,3212,America/Denver,False
New York Mills,NY,43.1007,-75.2932,3212,America/New_York,False
Warrior,AL,33.8153,-86.8153,3210,America/Chicago,False
Wanakah,NY,42.7434,-78.9028,3210,America/New_York,False
Holton,KS,39.4699,-95.7319,3208,America/Chicago,False
Lowesville,NC,35.4193,-80.9999,3208,America/New_York,False
Algona,WA,47.2819,-122.2504,3208,America/Los_Angeles,False
Louisiana,MO,39.4413,-91.0626,3207,America/Chicago,False
Steeleville,IL,38.0084,-89.6624,3206,America/Chicago,False
Wareham Center,MA,41.751,-70.7198,3205,America/New_York,False
Mingo Junction,OH,40.3244,-80.6174,3205,America/New_York,False
Colfax,CA,39.0938,-120.9533,3205,America/Los_Angeles,False
Williston,FL,29.3734,-82.4578,3205,America/New_York,False
Central Park,WA,46.9705,-123.7018,3205,America/Los_Angeles,False
Cumberland,KY,36.9824,-82.9919,3203,America/New_York,False
Bandon,OR,43.1141,-124.4157,3202,America/Los_Angeles,False
El Cerro,NM,34.7807,-106.6956,3202,America/Denver,False
